Fecha;Año;Mes;Residencia;Ambito;Promedio de Estancia Media;Total Pernoctaciones;Total Viajeros;Acumulado Año;Variación Año Anterior;Var. % Año Anterior;Variación Periodo Anterior;Var. % Periodo Anterior
15/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
15/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
15/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
16/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
16/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
16/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
16/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
16/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
16/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
17/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
17/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
17/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
17/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
17/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
17/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
18/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
18/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
18/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
18/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
18/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
18/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
19/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
19/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
19/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
19/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
19/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
19/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
20/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
20/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
20/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
20/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
20/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
20/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
21/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
21/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
21/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
21/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
21/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
21/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
22/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
22/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
22/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
22/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
22/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
22/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
23/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
23/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
23/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
23/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
23/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
23/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
24/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
24/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
24/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
24/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
24/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
24/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
25/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
25/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
25/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
25/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
